Location,MaxCapacity
A10A1,400
A10A10,400
A10A11,300
A10A13,300
A10A14,300
A10A15,300
A10A2,400
A10A3,400
A10A4,400
A10A5,300
A10A6,300
A10A7,300
A10A8,300
A10A9,300
A10B1,400
A10B10,300
A10B11,300
A10B12,300
A10B13,300
A10B14,300
A10B15,300
A10B2,300
A10B3,300
A10B4,300
A10B5,300
A10B6,300
A10B7,300
A10B8,300
A10B9,300
A10C1,300
A10C10,300
A10C11,300
A10C12,300
A10C13,300
A10C14,300
A10C15,300
A10C2,300
A10C3,300
A10C4,300
A10C5,300
A10C6,300
A10C7,300
A10C8,300
A10C9,300
A12B1,70
A12B3,70
A12B5,70
A12B6,70
A12B7,70
A12B8,70
A12B9,70
A12D1,70
A12D2,70
A12D3,70
A12D4,70
A12D5,70
A12D6,70
A12D7,70
A12D8,70
A1A1,1200
A1A2,1200
A1A3,1200
A1A4,1200
A1A5,1200
A1A6,1200
A1A7,1200
A1B1,600
A1B10,600
A1B11,600
A1B12,600
A1B2,600
A1B3,600
A1B4,600
A1B5,600
A1B6,600
A1B7,600
A1B8,600
A1B9,600
A1C10,600
A1C11,600
A1C12,600
A1C13,600
A1C14,600
A1C15,600
A1C6,600
A1C7,600
A1C8,600
A1C9,600
A2A1,600
A2A10,600
A2A11,600
A2A12,600
A2A13,600
A2A14,600
A2A15,600
A2A2,600
A2A3,600
A2A4,600
A2A5,600
A2A6,600
A2A7,600
A2A8,600
A2A9,600
A2B1,600
A2B10,600
A2B11,600
A2B12,600
A2B13,600
A2B14,600
A2B15,600
A2B2,600
A2B3,600
A2B5,600
A2B6,600
A2B7,600
A2B8,600
A2B9,600
A2C1,350
A2C10,300
A2C11,350
A2C12,300
A2C13,300
A2C14,300
A2C15,300
A2C2,350
A2C3,300
A2C4,300
A2C5,300
A2C6,300
A2C7,400
A2C8,350
A2C9,300
A3A1,600
A3A10,600
A3A11,600
A3A12,600
A3A13,600
A3A14,600
A3A15,600
A3A2,600
A3A3,600
A3A4,600
A3A5,600
A3A6,600
A3A7,600
A3A8,600
A3A9,600
A3B1,600
A3B10,600
A3B11,600
A3B12,600
A3B13,600
A3B14,600
A3B15,600
A3B2,600
A3B3,600
A3B4,600
A3B5,600
A3B6,600
A3B7,600
A3B8,600
A3B9,600
A3C1,600
A3C10,600
A3C11,600
A3C12,600
A3C13,600
A3C14,600
A3C15,600
A3C2,600
A3C3,600
A3C4,600
A3C5,600
A3C6,600
A3C7,600
A3C8,600
A3C9,600
A4A1,400
A4A10,400
A4A11,400
A4A12,300
A4A13,300
A4A14,300
A4A15,300
A4A2,400
A4A3,300
A4A4,300
A4A5,300
A4A6,300
A4A7,300
A4A8,300
A4A9,300
A4B1,400
A4B10,300
A4B11,300
A4B12,300
A4B13,400
A4B14,400
A4B15,300
A4B2,400
A4B3,400
A4B4,400
A4B5,300
A4B6,300
